SimulatedTime(s),RealTime(s)
93180,62.431
93240,71.537
93300,68.273
93360,76.642
93420,66.266
93480,65.54
93540,66.411
93600,64.851
93660,62.09
93720,61.762
93780,61.84
93840,62.147
93900,61.722
93960,61.683
94020,62.037
94080,62.045
94140,61.614
94200,68.159
94260,65.638
94320,62.53
94380,62.605
94440,62.926
94500,62.405
94560,62.849
94620,64.467
94680,62.973
94740,63.092
94800,62.914
94860,63.074
94920,63.39
94980,62.819
95040,62.674
95100,63.001
95160,63.025
95220,68.999
95280,67.127
95340,63.042
95400,63.056
95460,63.411
95520,63.665
95580,63.397
95640,63.275
95700,63.222
95760,63.926
95820,63.597
95880,63.945
95940,63.692
96000,63.731
96060,63.847
96120,74.835
96180,63.789
96240,63.983
96300,64.052
96360,64.956
96420,64.638
96480,63.509
96540,63.289
96600,62.795
96660,62.963
96720,62.929
96780,63.16
96840,62.979
96900,65.77
96960,69.955
97020,63.273
97080,63.661
97140,63.918
97200,63.269
97260,63.28
97320,63.107
97380,63.134
97440,63.615
97500,63.348
97560,62.864
97620,63.182
97680,63.221
97740,63.22
97800,63.401
97860,71.898
97920,63.592
97980,64.68
98040,64.361
98100,63.67
98160,63.681
98220,63.781
98280,64.107
98340,64.304
98400,64.812
98460,64.81
98520,64.743
98580,76.473
98640,67.263
98700,68.628
98760,67.453
98820,68.02
98880,68.527
98940,83.593
99000,68.951
99060,69.175
99120,69.399
99180,69.07
99240,82.643
99300,68.865
99360,69.154
99420,66.978
99480,64.293
99540,65.63
99600,64.569
99660,72.54
99720,65.417
99780,63.808
99840,64.225
99900,64.06
99960,64.164
100020,63.99
100080,64.423
100140,64.433
100200,64.242
100260,64.291
100320,64.378
100380,70.078
100440,67.518
100500,64.391
100560,64.392
100620,64.674
100680,64.862
100740,65.231
100800,65.223
100860,65.262
100920,65.611
100980,65.449
101040,76.485
101100,66.06
101160,66.526
101220,65.885
101280,65.58
101340,68.571
101400,69.033
101460,79.932
101520,67.134
101580,68.401
101640,68.7
101700,68.786
101760,68.332
101820,81.806
101880,68.753
101940,68.964
102000,68.421
102060,69.033
102120,82.628
102180,69.042
102240,68.828
102300,68.886
102360,68.916
102420,82.862
102480,69.748
102540,69.39
102600,69.099
102660,69.401
102720,83.362
102780,69.056
102840,69.353
102900,69.423
102960,69.981
103020,83.859
103080,69.817
103140,69.915
103200,69.935
103260,70.996
103320,83.832
103380,72.254
103440,71.111
103500,74.279
103560,83.799
103620,70.621
103680,70.141
103740,71.025
103800,85.243
103860,71.109
103920,71.186
103980,71.179
104040,86.604
104100,71.265
104160,75.116
104220,78.995
104280,77.414
104340,70.96
104400,71.736
104460,76.041
104520,82.346
104580,71.989
104640,71.817
104700,86.913
104760,71.773
104820,72.445
104880,72.593
104940,86.862
105000,72.175
105060,71.991
105120,72.341
105180,86.649
105240,72.433
105300,73.276
105360,87.306
105420,73.053
105480,73.361
105540,73.033
105600,84.734
105660,67.905
105720,66.884
105780,66.997
105840,67.277
105900,67.213
105960,77.496
106020,67.125
106080,67.016
106140,67.241
106200,67.435
106260,67.743
106320,67.295
106380,76.957
106440,67.626
106500,67.7
106560,67.788
106620,67.529
106680,67.696
106740,78.442
106800,67.884
106860,67.833
106920,67.913
106980,67.704
107040,68.04
107100,71.115
107160,74.641
107220,68.247
107280,67.942
107340,68.04
107400,69.005
107460,68.513
107520,77.258
107580,68.215
107640,68.346
107700,68.475
107760,68.612
107820,68.6
107880,78.767
107940,68.587
108000,68.553
108060,68.798
108120,68.87
108180,78.372
108240,69.052
108300,68.056
108360,68.862
108420,68.873
108480,68.975
108540,80.067
108600,69.08
108660,68.959
108720,68.929
108780,69.412
108840,78.877
108900,70.074
108960,69.373
109020,69.402
109080,69.257
109140,69.469
109200,79.551
109260,69.734
109320,69.258
109380,69.768
109440,69.394
109500,79.683
109560,69.34
109620,69.377
109680,69.876
109740,69.385
109800,79.91
109860,70.119
109920,69.712
109980,69.673
110040,69.972
110100,80.19
110160,69.889
110220,71.131
110280,70.131
110340,69.988
110400,80.535
110460,70.28
110520,70.35
110580,70.157
110640,70.403
110700,80.6
110760,70.187
110820,70.169
110880,70.324
110940,70.061
111000,80.481
111060,70.434
111120,70.391
111180,70.094
111240,70.563
111300,80.61
111360,70.723
111420,76.966
111480,72.511
111540,83.163
111600,71.896
111660,70.819
111720,71.08
111780,81.577
111840,71.097
111900,71.33
111960,70.818
112020,81.356
112080,71.006
112140,71.801
112200,71.601
112260,71.204
112320,81.367
112380,71.251
112440,71.287
112500,71.25
112560,83.461
112620,72.942
112680,72.561
112740,71.799
112800,86.187
112860,74.137
112920,74.937
112980,89.827
113040,79.15
113100,100.978
113160,83.146
113220,97.751
113280,82.755
113340,93.906
113400,75.13
113460,74.134
113520,77.163
113580,84.017
113640,73.711
113700,73.696
113760,88.126
113820,73.71
113880,73.431
113940,88.029
114000,73.936
114060,73.476
114120,73.685
114180,85.852
114240,73.678
114300,74.121
114360,86.224
114420,73.748
114480,73.705
114540,77.723
114600,82.661
114660,74.211
114720,73.952
114780,86.933
114840,74.434
114900,74.777
114960,87.277
115020,74.662
115080,74.496
115140,86.678
115200,74.26
115260,74.232
115320,73.56
115380,89.101
115440,75.301
115500,74.419
115560,86.919
115620,76.1
115680,78.631
115740,92.771
115800,80.961
115860,95.45
115920,79.566
115980,93.571
116040,76.609
116100,76.462
116160,87.97
116220,74.104
116280,73.687
116340,79.247
116400,80.381
116460,75.452
116520,96.257
116580,80.921
116640,78.007
116700,93.035
116760,78.586
116820,114.421
116880,99.698
116940,80.084
117000,96.675
117060,79.145
117120,76.344
117180,91.103
117240,77.014
117300,91.707
117360,77.564
117420,77.378
117480,93.536
117540,79.452
117600,94.459
117660,79.613
117720,80.908
117780,96.219
117840,81.92
117900,96.292
117960,80.636
118020,96.198
118080,81.08
118140,96.105
118200,80.617
118260,96.412
118320,81.047
118380,97.315
118440,82.626
118500,96.869
118560,85.984
118620,96.844
118680,80.315
118740,96.249
118800,81.751
118860,97.844
118920,81.226
118980,96.88
119040,80.849
119100,77.838
119160,88.552
119220,75.621
119280,75.382
